year,next_mayor_election,next_gov_election,mayor_term_election,mayor_term_inaug,gov_term_election,gov_term_inaug,in_mayoral_pre_window,mayoral_pre_for,gov_election_inside_pre_window,year_post_gov_election_within_pre_window
2002,2004,2002,2000,2001,,,TRUE,2004,TRUE,TRUE
2003,2004,2006,2000,2001,2002,2003,TRUE,2004,TRUE,TRUE
2004,2004,2006,2000,2001,2002,2003,FALSE,,FALSE,FALSE
2005,2008,2006,2004,2005,2002,2003,TRUE,2008,TRUE,FALSE
2006,2008,2006,2004,2005,2002,2003,TRUE,2008,TRUE,TRUE
2007,2008,2010,2004,2005,2006,2007,TRUE,2008,TRUE,TRUE
2008,2008,2010,2004,2005,2006,2007,FALSE,,FALSE,FALSE
2009,2012,2010,2008,2009,2006,2007,TRUE,2012,TRUE,FALSE
2010,2012,2010,2008,2009,2006,2007,TRUE,2012,TRUE,TRUE
2011,2012,2014,2008,2009,2010,2011,TRUE,2012,TRUE,TRUE
2012,2012,2014,2008,2009,2010,2011,FALSE,,FALSE,FALSE
2013,2016,2014,2012,2013,2010,2011,TRUE,2016,TRUE,FALSE
2014,2016,2014,2012,2013,2010,2011,TRUE,2016,TRUE,TRUE
2015,2016,2018,2012,2013,2014,2015,TRUE,2016,TRUE,TRUE
2016,2016,2018,2012,2013,2014,2015,FALSE,,FALSE,FALSE
2017,,2018,2016,2017,2014,2015,FALSE,,FALSE,FALSE
