cnae_section,mean_share_unweighted,mean_share_weighted,rank_unweighted,rank_weighted
O,0.449762313210417,0.19373205398572,1,1
C,0.168241990182919,0.165797770270959,2,2
G,0.12773412592024,0.165288921924819,4,3
N,0.0228386382905496,0.0806325666938323,10,4
M,0.167379378754809,0.0804987204208166,3,5
H,0.0489489736636492,0.0721082371299753,6,6
F,0.0299155988224567,0.0471365703575779,7,7
P,0.0220529885261689,0.0394878974794343,11,8
I,0.023256662706771,0.0364329763289552,9,9
Q,0.0220022953129067,0.0355640853132688,12,10
A,0.12696716998102,0.0342550371857149,5,11
J,0.0131668735531221,0.0235249332973395,15,12
S,0.0166498540478756,0.0228579337147475,13,13
K,0.0117034807751564,0.0223869350135113,18,14
R,0.0141383417780913,0.0126484171779614,14,15
E,0.0119243988668709,0.0083885329705874,16,16
B,0.0232941685828091,0.00505138716056522,8,17
D,0.0118153504239842,0.00441363168075135,17,18
L,0.00204144366311503,0.00258250780742794,20,19
T,0.00183146749202873,0.000304703967705457,21,20
U,0.00248507842951146,0.000255184208374471,19,21
