channel,channel_label,spec,ar_F,ar_p,df1,df2,K_Z,n_obs,vol_coef,vol_se,reject_5pc,taxonomy
M,Mayor,novol,1.21526715843467,0.265047987942379,12,83112,12,88694,,,FALSE,policy_block_size_bin
M,Mayor,volctrl,1.21526134798395,0.265052067394443,12,83111,12,88694,5.35891590521408e-06,7.38915010243087e-05,FALSE,policy_block_size_bin
M,Mayor,volIV,0.67210477381365,0.780002776896041,12,83111,12,88694,0.0571797545178322,0.037139059384804,FALSE,policy_block_size_bin
MP,Mayor x President,novol,1.56392190334419,0.0943323437211883,12,83112,12,88694,,,FALSE,policy_block_size_bin
MP,Mayor x President,volctrl,1.56402608375624,0.0943004773473767,12,83111,12,88694,7.99935277426296e-06,7.54190137935651e-05,FALSE,policy_block_size_bin
MP,Mayor x President,volIV,0.438634111419072,0.948583901212309,12,83111,12,88694,0.0831160773956909,0.0565772401795235,FALSE,policy_block_size_bin
MG,Mayor x Governor,novol,1.90376779131479,0.0290848013851599,12,83112,12,88694,,,TRUE,policy_block_size_bin
MG,Mayor x Governor,volctrl,1.90538638243534,0.0289129730385079,12,83111,12,88694,9.80532831272289e-06,7.56486228782315e-05,TRUE,policy_block_size_bin
MG,Mayor x Governor,volIV,1.49631909064955,0.117064649173539,12,83111,12,88694,0.0321742705570843,0.0148327209633277,FALSE,policy_block_size_bin
MGP,Mayor x Gov. x President,novol,1.49134015191656,0.118908871166599,12,83112,12,88694,,,FALSE,policy_block_size_bin
MGP,Mayor x Gov. x President,volctrl,1.49120514369229,0.118959218866663,12,83111,12,88694,7.93887330708766e-06,7.52548795988654e-05,FALSE,policy_block_size_bin
MGP,Mayor x Gov. x President,volIV,1.07363623499175,0.377571544330839,12,83111,12,88694,0.0757118930094558,0.0468593354103941,FALSE,policy_block_size_bin
