porte,size_bin_A4,V,row_pct
Micro,2,16280444135.193,0.0811727295491059
Micro,1,30201350176.5953,0.150581028966109
Pequena,1,8133212891.74317,0.0930108892072549
Pequena,2,41782668400.9053,0.477823855485866
Pequena,3,28207874344.5573,0.322583400970274
Media,1,25444524281.3278,0.0681393359236843
Media,2,38024517894.8401,0.101828014920838
Media,3,207519399499.957,0.555727979696813
Grande,3,6582592754649.5,0.207537593048055
Grande,1,990459898796.853,0.0312274617416863
Media,4,102430581805.782,0.274304669458665
Micro,3,3522350174.11495,0.0175620993927688
Grande,2,1692650489828.41,0.0533662982997806
Grande,4,22451889115421.8,0.707868646910479
Pequena,4,9319907799.01881,0.106581854336605
Micro,4,150561294493.749,0.750684142092016
