option,year_from,year_to,bin_from,bin_to,N
B,2002,2003,3,3,404097
B,2003,2004,3,3,426222
B,2004,2005,3,3,449327
B,2005,2006,3,3,465033
B,2006,2007,3,3,493154
B,2007,2008,3,3,522670
B,2008,2009,3,3,550886
B,2009,2010,3,3,585866
B,2010,2011,3,3,627452
B,2011,2012,3,3,663922
B,2012,2013,3,3,693340
B,2013,2014,3,3,722055
B,2014,2015,3,3,738359
B,2015,2016,3,3,752394
B,2016,2017,3,3,753995
B,2002,2003,1,1,479701
B,2003,2004,1,1,497596
B,2004,2005,1,1,516705
B,2005,2006,1,1,543393
B,2006,2007,1,1,565023
B,2007,2008,1,1,576937
B,2008,2009,1,1,605376
B,2009,2010,1,1,637843
B,2010,2011,1,2,131904
B,2011,2012,2,2,363043
B,2012,2013,2,2,376960
B,2013,2014,2,2,390705
B,2014,2015,2,2,393432
B,2015,2016,2,2,406978
B,2016,2017,2,2,419672
B,2011,2012,1,1,703976
B,2012,2013,1,1,733138
B,2013,2014,1,1,778622
B,2014,2015,1,1,799533
B,2015,2016,1,1,798802
B,2016,2017,1,1,762862
B,2016,2017,3,2,86149
B,2010,2011,1,1,661033
B,2015,2016,1,2,111818
B,2002,2003,2,2,228300
B,2003,2004,2,2,238299
B,2004,2005,2,2,251222
B,2005,2006,2,2,255534
B,2006,2007,2,2,269484
B,2007,2008,2,2,277709
B,2008,2009,2,2,293954
B,2009,2010,2,2,306802
B,2010,2011,2,2,326464
B,2014,2015,2,3,100193
B,2005,2006,2,1,85114
B,2002,2003,2,1,70873
B,2004,2005,1,2,89028
B,2005,2006,2,3,71341
B,2007,2008,3,2,58136
B,2002,2003,3,2,46468
B,2003,2004,2,3,59946
B,2004,2005,3,2,50343
B,2011,2012,2,3,91160
B,2006,2007,3,2,54145
B,2007,2008,2,1,86949
B,2013,2014,1,3,18684
B,2006,2007,2,1,83656
B,2008,2009,1,2,105331
B,2010,2011,2,3,87713
B,2011,2012,3,1,18597
B,2010,2011,3,2,70367
B,2003,2004,2,1,70482
B,2013,2014,2,1,120023
B,2016,2017,1,2,131227
B,2015,2016,3,1,22653
B,2013,2014,3,2,82216
B,2002,2003,1,2,76484
B,2006,2007,1,3,16555
B,2005,2006,1,2,91092
B,2012,2013,2,3,96779
B,2015,2016,2,3,85621
B,2005,2006,3,2,61842
B,2008,2009,2,3,76007
B,2009,2010,2,3,89202
B,2012,2013,3,1,19573
B,2005,2006,3,1,15654
B,2013,2014,3,1,20162
B,2008,2009,2,1,93324
B,2013,2014,2,3,93335
B,2014,2015,3,2,86057
B,2002,2003,3,1,12219
B,2009,2010,1,2,114929
B,2010,2011,2,1,100136
B,2003,2004,1,2,83602
B,2004,2005,2,1,74563
B,2005,2006,1,3,15236
B,2009,2010,3,2,61537
B,2012,2013,3,2,75861
B,2014,2015,1,2,134628
B,2016,2017,3,1,19766
B,2002,2003,2,3,56938
B,2003,2004,3,2,48537
B,2008,2009,3,2,63886
B,2012,2013,2,1,114782
B,2009,2010,3,1,16509
B,2007,2008,1,2,101693
B,2002,2003,1,3,13064
B,2015,2016,3,2,85957
B,2014,2015,2,1,121822
B,2011,2012,1,2,126032
B,2004,2005,2,3,64268
B,2011,2012,2,1,106873
B,2012,2013,1,2,124183
B,2004,2005,1,3,14872
B,2016,2017,2,3,78633
B,2012,2013,1,3,19317
B,2007,2008,2,3,74467
B,2011,2012,3,2,74369
B,2015,2016,2,1,126415
B,2006,2007,1,2,96205
B,2006,2007,3,1,15101
B,2013,2014,1,2,123841
B,2010,2011,3,1,18229
B,2011,2012,1,3,19572
B,2007,2008,3,1,15784
B,2006,2007,2,3,72258
B,2003,2004,3,1,12101
B,2009,2010,2,1,95922
B,2003,2004,1,3,14169
B,2008,2009,3,1,17417
B,2016,2017,2,1,111290
B,2007,2008,1,3,18263
B,2015,2016,1,3,14584
B,2004,2005,3,1,13417
B,2014,2015,3,1,21581
B,2014,2015,1,3,16286
B,2009,2010,1,3,20668
B,2010,2011,1,3,20339
B,2008,2009,1,3,17954
B,2016,2017,1,3,15544
