state_id,n_firm_years_total,n_firm_years_xx,emp_total,emp_xx,xx_share_firm_years,xx_share_employment
22,330928,10542,5705255,1799972,3.1855871972151,31.5493698353536
17,262275,7854,3620593,1328481,2.99456677151844,36.6923595112734
12,84124,2440,1680722,618978,2.90048024345015,36.8281012564838
25,478026,12755,8592209,2950440,2.66826490609297,34.3385501912256
28,300207,7628,5389820,1417653,2.54091343639555,26.3024182625765
14,54845,1377,1076589,465945,2.51071200656395,43.2797474245046
13,254052,6265,8478089,2115228,2.46603057641743,24.9493488450051
21,483454,11406,9096964,2933278,2.35927306424189,32.2445818187255
27,353866,8160,6904240,1817991,2.30595762237683,26.3315151269365
16,73941,1598,1595408,610748,2.16118256447708,38.2816182443613
24,508755,10806,8530822,2196440,2.124008609252,25.7471085435847
15,674583,14040,14477923,4197714,2.08128577209921,28.9938964311386
11,340662,6480,7206053,3311742,1.90217869912112,45.9577802161599
26,1258726,23452,22206004,4751718,1.86315369667426,21.3983479422952
51,860874,15909,9850307,1805162,1.84800563148614,18.3259465923245
52,1580061,28050,19009152,4028101,1.77524791764369,21.1903245342033
23,1063589,18874,19231358,4628802,1.77455765337927,24.0690335024703
43,3580888,62644,40832565,5664855,1.74939847322787,13.8733753316746
53,749714,12932,16957406,5962396,1.7249244378523,35.1610146032949
29,2098268,35967,30971991,7297979,1.71412803321597,23.5631574347287
31,5502463,91756,67316589,11014421,1.66754415250043,16.3621198929138
41,3524326,57395,40650759,5653945,1.62853833612441,13.9085840931039
35,12059789,192997,186534344,23805998,1.60033479856074,12.7622600157749
50,655303,10424,8149330,1579442,1.59071452442611,19.3812497469117
42,2610016,41213,28968560,3291879,1.57903246570136,11.3636266352211
32,987080,14965,12479972,2144640,1.51608785508773,17.1846539399287
33,3450590,50769,60743914,10096850,1.47131360144207,16.6219944272936
