world,channel,coef,t
MxG only,M,-0.0287951718264824,-1.62663987968121
MxG only,G,0.00608269788015274,0.35030844942234
MxG only,P,0.00304640473992743,0.174591486583225
MxG only,MG,0.969699665217682,32.7097785756819
MxG only,MP,0.00376239826785799,0.125694142925954
MxG only,GP,-0.0284116677687663,-0.951708599193011
MxG only,MGP,0.0983950164714064,2.03787509139238
P only,M,0.00643733618768646,0.360431606907379
P only,G,0.015099267372871,0.852421461002419
P only,P,1.01057497824513,56.9638695772927
P only,MG,-0.00812125614882675,-0.26654134090065
P only,MP,-0.00918684088105699,-0.305494818223786
P only,GP,-0.0464324787318883,-1.55218673574073
P only,MGP,-0.0212451678098736,-0.434724366470997
MxG and P,M,-0.0261199505850276,-1.49230144945692
MxG and P,G,-0.0111039439798332,-0.63001066889065
MxG and P,P,0.801089133938944,45.8886266498246
MxG and P,MG,1.02947859414466,34.6420190130133
MxG and P,MP,0.0130972800148158,0.439737745006134
MxG and P,GP,0.00192650444207821,0.0644769646683354
MxG and P,MGP,-0.0407563958716359,-0.838880853063433
