pair,channel,shift,n,mean,p05,p25,median,p75,p95
BASE_vs_VAR-A,M,DIF,22910,0.761667986714573,-0.2,0.777777777777778,0.948683298050514,1,1
BASE_vs_VAR-A,MG,DIF,24631,0.784941437586082,-0.105409255338946,0.777777777777778,1,1,1
BASE_vs_VAR-A,MGP,DIF,12862,0.833456619472458,0.2,0.8,1,1,1
BASE_vs_VAR-A,MP,DIF,20584,0.814438855165243,0.2,0.8,1,1,1
BASE_vs_VAR-A,M,LEV,63678,0.652384016885571,-0.4,0.4,0.8,1,1
BASE_vs_VAR-A,MG,LEV,47136,0.733437248957666,-0.4,0.777777777777778,0.942809041582063,1,1
BASE_vs_VAR-A,MGP,LEV,19455,0.818924553297227,0.2,0.777777777777778,1,1,1
BASE_vs_VAR-A,MP,LEV,38682,0.77663339853715,-0.105409255338946,0.777777777777778,1,1,1
BASE_vs_VAR-B,M,DIF,22629,0.630050517482511,-0.4,0.4,0.8,1,1
BASE_vs_VAR-B,MG,DIF,24294,0.670383480093713,-0.4,0.4,0.8,1,1
BASE_vs_VAR-B,MGP,DIF,12651,0.745720834797546,-0.2,0.777777777777778,0.942809041582063,1,1
BASE_vs_VAR-B,MP,DIF,20259,0.707606131010543,-0.333333333333333,0.577350269189626,0.8,1,1
BASE_vs_VAR-B,M,LEV,63134,0.604530964663225,-0.4,0.4,0.8,1,1
BASE_vs_VAR-B,MG,LEV,46560,0.683909410302014,-0.4,0.4,0.8,1,1
BASE_vs_VAR-B,MGP,LEV,19119,0.768527422526088,0.105409255338946,0.777777777777778,0.942809041582063,1,1
BASE_vs_VAR-B,MP,LEV,38101,0.715579230981952,-0.2,0.577350269189626,0.8,1,1
VAR-A_vs_VAR-B,M,DIF,22629,0.76373832391056,-0.2,0.777777777777778,0.948683298050514,1,1
VAR-A_vs_VAR-B,MG,DIF,24297,0.793414991228756,0.0555555555555556,0.777777777777778,0.948683298050514,1,1
VAR-A_vs_VAR-B,MGP,DIF,12649,0.853435452921626,0.316227766016838,0.8,1,1,1
VAR-A_vs_VAR-B,MP,DIF,20260,0.819487101009477,0.2,0.8,1,1,1
VAR-A_vs_VAR-B,M,LEV,63134,0.835788058531441,0.388888888888889,0.8,0.948683298050514,1,1
VAR-A_vs_VAR-B,MG,LEV,46558,0.858046406812057,0.4,0.8,1,1,1
VAR-A_vs_VAR-B,MGP,LEV,19117,0.89283089195574,0.4,0.8,1,1,1
VAR-A_vs_VAR-B,MP,LEV,38097,0.874230315629399,0.4,0.8,1,1,1
