recipient_class,year,value_dis,n_loans
financial_institution,2002,336471296,108
productive_firm,2002,995939429234,28176
public_entity,2002,183467170113,274
financial_institution,2003,38811361,153
productive_firm,2003,612606291973,37795
public_entity,2003,239519535637,187
financial_institution,2004,13698233,48
productive_firm,2004,1044771772112,30895
public_entity,2004,150574444098,207
financial_institution,2005,480556041,26
productive_firm,2005,1216833815980,39610
public_entity,2005,247795283597,90
financial_institution,2006,3114489137,45
productive_firm,2006,2066019195369,41205
public_entity,2006,242407319818,128
financial_institution,2007,958575477,70
productive_firm,2007,3747542254894,65380
public_entity,2007,498200189579,750
financial_institution,2008,2206772572,47
productive_firm,2008,2921679075226,82626
public_entity,2008,559535178825,498
financial_institution,2009,4900623843,43
productive_firm,2009,4485340655165,109986
public_entity,2009,3645214057568,587
financial_institution,2010,5621122419,55
productive_firm,2010,2600726955604,197621
public_entity,2010,1852375429097,699
financial_institution,2011,4523721361,78
productive_firm,2011,3743002293903,238877
public_entity,2011,1013821716335,462
financial_institution,2012,9908981416,427
productive_firm,2012,6252541423722,209880
public_entity,2012,3200454016101,536
financial_institution,2013,11524650124,548
productive_firm,2013,3167198013710,194444
public_entity,2013,2589084973845,196
financial_institution,2014,1979331984,84
productive_firm,2014,3559186377389,173942
public_entity,2014,1414685059880,260
financial_institution,2015,4605016667,34
productive_firm,2015,2447550832129,87322
public_entity,2015,144848738675,122
financial_institution,2016,5649115347,19
productive_firm,2016,1108543293147,53105
public_entity,2016,213427304546,261
financial_institution,2017,2026956714,48
productive_firm,2017,1799095758143,62042
public_entity,2017,284978051953,52
