cnae_section,coverage_class,n_rows,cnae_total,share_in_cnae
,bndes_only_no_rais,18,20,0.9
,in_rais_panel,2,20,0.1
A,bndes_only_no_rais,1966,2058418,0.000955102413601125
A,in_rais_panel,2027100,2058418,0.984785403159125
A,owner_only_no_rais,29352,2058418,0.0142594944272738
B,bndes_only_no_rais,833,99245,0.00839336994307018
B,in_rais_panel,91131,99245,0.918242732631367
B,owner_only_no_rais,7281,99245,0.073363897425563
C,bndes_only_no_rais,15021,4597629,0.00326711876926129
C,in_rais_panel,4256365,4597629,0.925773915207164
C,owner_only_no_rais,326243,4597629,0.0709589660235743
D,bndes_only_no_rais,234,39601,0.00590894169339158
D,in_rais_panel,38869,39601,0.981515618292467
D,owner_only_no_rais,498,39601,0.0125754400141411
E,bndes_only_no_rais,777,179220,0.0043354536324071
E,in_rais_panel,170437,179220,0.950993192724026
E,owner_only_no_rais,8006,179220,0.0446713536435666
F,bndes_only_no_rais,5581,1545909,0.00361017369068943
F,in_rais_panel,1347121,1545909,0.871410283528979
F,owner_only_no_rais,193207,1545909,0.124979542780332
G,bndes_only_no_rais,33609,15934923,0.00210914103569876
G,in_rais_panel,14157286,15934923,0.888443954200469
G,owner_only_no_rais,1744028,15934923,0.109446904763832
H,bndes_only_no_rais,31036,4900655,0.00633303099279586
H,in_rais_panel,4683854,4900655,0.955760811564985
H,owner_only_no_rais,185765,4900655,0.0379061574422195
I,bndes_only_no_rais,1301,2924377,0.000444881080654102
I,in_rais_panel,2639059,2924377,0.902434604019933
I,owner_only_no_rais,284017,2924377,0.0971205148994128
J,bndes_only_no_rais,1162,810379,0.00143389697906782
J,in_rais_panel,760016,810379,0.937852535665411
J,owner_only_no_rais,49201,810379,0.0607135673555213
K,bndes_only_no_rais,1043,530412,0.00196639593372699
K,in_rais_panel,504117,530412,0.950425329743671
K,owner_only_no_rais,25252,530412,0.0476082743226021
L,bndes_only_no_rais,646,250529,0.00257854380131642
L,in_rais_panel,225561,250529,0.900338882923733
L,owner_only_no_rais,24322,250529,0.0970825732749502
M,bndes_only_no_rais,1434,2277781,0.000629560085012563
M,in_rais_panel,2172289,2277781,0.953686504541042
M,owner_only_no_rais,104058,2277781,0.0456839353739451
N,bndes_only_no_rais,4861,3207525,0.00151549871006461
N,in_rais_panel,3038370,3207525,0.947263076671265
N,owner_only_no_rais,164294,3207525,0.0512214246186702
O,in_rais_panel,186533,186728,0.998955700269911
O,owner_only_no_rais,195,186728,0.00104429973008869
P,bndes_only_no_rais,328,1020744,0.000321334242474117
P,in_rais_panel,975302,1020744,0.955481491931376
P,owner_only_no_rais,45114,1020744,0.0441971738261503
Q,bndes_only_no_rais,683,1293886,0.000527867215504303
Q,in_rais_panel,1229879,1293886,0.950531190537652
Q,owner_only_no_rais,63324,1293886,0.048940942246844
R,bndes_only_no_rais,368,741031,0.000496605405171983
R,in_rais_panel,712224,741031,0.961125782861986
R,owner_only_no_rais,28439,741031,0.0383776117328425
S,bndes_only_no_rais,572,1540835,0.000371227289099741
S,in_rais_panel,1449470,1540835,0.940704228551402
S,owner_only_no_rais,90793,1540835,0.0589245441594979
T,bndes_only_no_rais,2,37274,5.36567044052154e-05
T,in_rais_panel,36857,37274,0.988812577131513
T,owner_only_no_rais,415,37274,0.0111337661640822
U,bndes_only_no_rais,6,4284,0.00140056022408964
U,in_rais_panel,4208,4284,0.982259570494864
U,owner_only_no_rais,70,4284,0.0163398692810458
